,manufacturer,main_type,built_year,first_registration_date,has_all_wheel_drive,horsepower,handover_key_count,length,width,height,mileage,kw,price,evaluation_datetime,fuel,gear,ac,gps,color
392,Mercedes-Benz,Caddy,  2007_year ,3/1/2007,,53,2,3682,2159,1549,78157,40,,8/1/2018 17:32,Benzin,Auto_or_Hybrid,,,red
393,Fiat,C-Klasse,  2011_year ,6/28/2011,,176,2,3847,2064,1459,147815,131,,7/20/2018 9:47,Benzin,Auto_or_Hybrid,Auto,Big,white
394,Seat,Yaris,  2010_year ,3/9/2010,,104,1,3629,1984,1452,142514,76,,8/31/2018 14:53,Diesel,Manual,Auto,,brown
395,BMW,Mondeo,  2011_year ,7/11/2011,,157,2,4073,1828,1720,82760,115,,6/9/2018 18:50,Benzin,Auto_or_Hybrid,Auto,,gray
396,Peugeot,Golf IV,  2010_year ,12/7/2010,,124,2,3864,1999,1645,34310,90,,5/25/2018 16:28,Benzin,Manual,Auto,,red
397,Fiat,Corsa,  2001_year ,1/2/2002,1,178,2,3589,2045,1820,306512,131,,5/10/2018 8:33,Diesel,Auto_or_Hybrid,Auto,,yellow
398,Fiat,C5,  2009_year ,10/7/2009,,261,1,3675,2018,1393,304139,193,,7/8/2018 10:58,Diesel,Auto_or_Hybrid,Auto,Big,red
399,Fiat,C-Klasse,  2006_year ,5/17/2006,,115,2,3782,2050,1406,85065,85,,10/22/2018 11:14,Benzin,Manual,Auto,,red
400,Fiat,C-Klasse,  2006_year ,5/3/2006,,135,1,3665,1988,1426,177628,100,,8/26/2018 10:31,Diesel,Auto_or_Hybrid,Auto,,purple
401,Land Rover,Civic,  2002_year ,5/16/2002,,133,2,3464,2423,1452,293949,98,,7/12/2018 14:58,Benzin,Auto_or_Hybrid,Auto,,gray
402,Citroen,500,  2006_year ,5/29/2006,,138,2,3626,1939,1418,77717,101,,9/7/2018 12:46,Benzin,Manual,Auto,,brown
403,Fiat,Octavia,  2014_year ,2/27/2014,,145,2,4120,2090,1433,100789,107,,5/14/2018 15:15,Diesel,Auto_or_Hybrid,Manual,Big,silver
404,Fiat,C-Klasse,  2012_year ,11/20/2012,,195,2,3821,1855,1406,63346,142,,5/18/2018 15:56,Benzin,Auto_or_Hybrid,Auto,Big,brown
405,Citroen,Qashqai,  2011_year ,9/9/2011,1,239,2,4090,2217,1661,217643,176,,3/29/2018 14:17,Diesel,Auto_or_Hybrid,Auto,Big,red
406,Nissan,Superb,  2003_year ,5/17/2003,1,167,2,3508,2364,1710,223377,122,,8/22/2018 17:20,Benzin,Manual,Manual,,brown
407,Kia,Evoque,  2008_year ,8/1/2008,,173,2,3768,2248,1488,149216,127,,7/4/2018 17:06,Benzin,Manual,Auto,,red
408,Citroen,500,  2006_year ,6/26/2006,,141,2,3617,2259,1440,238726,104,,8/18/2018 12:01,Diesel,Auto_or_Hybrid,Auto,Big,brown
409,Dacia,Yeti,  2014_year ,7/17/2014,,112,2,3834,1875,1691,88061,82,,5/13/2018 10:44,Benzin,Auto_or_Hybrid,Manual,,brown
410,Kia,A6,  2007_year ,3/16/2007,,119,2,3726,2440,1500,221318,87,,7/1/2018 13:11,Diesel,Manual,Auto,,red
411,Citroen,500,  2007_year ,10/12/2007,,144,2,3665,2322,1420,98735,105,,6/26/2018 20:15,Benzin,Manual,Auto,Big,purple
412,Audi,Sharan,  2011_year ,1/20/2012,,145,2,3814,2267,1626,73842,106,,7/31/2018 15:24,Benzin,Manual,Manual,,red
413,Audi,RAV 4,  2012_year ,10/24/2012,1,126,2,3736,2106,1710,44453,93,,6/27/2018 11:30,Diesel,Auto_or_Hybrid,Auto,Big,white
414,Citroen,500,  2000_year ,5/3/2000,,149,2,3384,2172,1415,233223,110,,6/17/2018 15:52,Diesel,Manual,Auto,,silver
415,BMW,Q5,  2011_year ,9/15/2011,,172,2,3709,2263,1480,68328,127,,4/19/2018 13:59,Diesel,Auto_or_Hybrid,Auto,,black
416,Citroen,500,  2006_year ,7/12/2006,,118,2,3757,2073,1420,88273,86,,8/31/2018 13:32,Benzin,Manual,Manual,,red
417,BMW,Insignia,  2005_year ,12/12/2005,,149,2,3513,2214,1517,199080,110,,8/14/2018 18:20,Diesel,Auto_or_Hybrid,Auto,Mobile,purple
418,Fiat,C5,  2012_year ,6/21/2012,,171,2,3781,1867,1464,136824,125,,7/3/2018 14:32,Diesel,Auto_or_Hybrid,Auto,Big,red
419,BMW,Q5,  2012_year ,4/4/2012,,217,2,3806,2254,1469,69709,160,,8/28/2018 14:09,Benzin,Manual,Auto,Big,red
420,Fiat,Corsa,  2002_year ,4/19/2002,1,161,2,3693,2036,1820,388983,119,,10/6/2018 13:10,Diesel,Auto_or_Hybrid,Auto,Big,orange
421,Land Rover,A5,  2001_year ,9/20/2001,,143,2,3683,2092,1428,196244,105,,9/9/2018 16:50,Benzin,Manual,Auto,,brown
422,Mercedes-Benz,Caddy,  2012_year ,6/15/2012,,77,2,3548,2203,1542,87093,57,,8/4/2018 16:39,Benzin,Auto_or_Hybrid,Auto,Big,brown
423,BMW,206,  2006_year ,1/2/2007,,58,2,3437,2342,1467,148395,43,,5/4/2018 8:34,Benzin,Manual,Manual,,black
424,BMW,CR-V,  2009_year ,4/13/2010,,108,2,3800,2246,1504,153722,79,,5/25/2018 17:16,Benzin,Manual,Auto,,purple
425,BMW,Megane,  2014_year ,6/11/2014,1,330,2,4104,1797,1436,23382,243,,5/21/2018 11:40,Benzin,Manual,Auto,,white
426,BMW,Polo,  2012_year ,10/18/2012,,128,1,3937,1890,1621,79225,95,,4/30/2018 9:13,Benzin,Manual,Auto,,brown
427,Honda,Zafira,  2003_year ,3/1/2003,,143,2,3698,2352,1533,201488,106,,8/11/2018 14:19,Benzin,Auto_or_Hybrid,Auto,,black
428,Seat,Swift,  2014_year ,4/23/2014,,173,2,4128,2179,1484,40182,128,,6/21/2018 10:21,Diesel,Auto_or_Hybrid,Auto,Big,red
429,Citroen,500,  2007_year ,6/12/2007,1,256,1,3586,2286,1395,124772,189,,5/28/2018 11:56,Diesel,Manual,Auto,,red
430,Citroen,500,  2010_year ,7/2/2010,,233,1,3998,2045,1375,,171,,6/7/2018 17:29,Benzin,Auto_or_Hybrid,Auto,Big,purple
431,Land Rover,XC 60,  2006_year ,5/19/2006,1,205,2,3901,2271,1737,177431,151,,7/16/2018 12:51,Diesel,Auto_or_Hybrid,Auto,Big,brown
432,Audi,1er,  2008_year ,1/14/2009,,97,3,3712,2132,1497,227035,72,,5/15/2018 12:50,Benzin,Auto_or_Hybrid,Auto,Big,purple
433,Fiat,C-Klasse,  2003_year ,0002-11-29,,160,2,3522,2241,1426,241255,117,,7/24/2018 11:59,Benzin,Manual,Auto,,purple
434,Citroen,B-Klasse,  2014_year ,3/7/2014,1,328,2,4571,1697,1762,161476,242,,5/12/2018 14:28,Diesel,Auto_or_Hybrid,Auto,Big,red
435,Seat,Leon,  2013_year ,4/2/2013,1,228,1,3947,1926,1784,91063,167,,8/26/2018 10:27,Diesel,Auto_or_Hybrid,Auto,Big,purple
436,Kia,Evoque,  2009_year ,3/3/2009,,84,2,3656,2306,1488,53157,62,,6/2/2018 15:35,Benzin,Manual,Manual,,white
437,Kia,Golf V,  2009_year ,4/21/2009,,146,1,3741,2164,1520,111826,107,,7/15/2018 14:21,Benzin,Manual,Auto,Big,brown
438,Porsche,X1,  2001_year ,3/30/2001,,56,1,3503,2164,1480,155175,41,,7/27/2018 10:32,Benzin,Manual,,,purple
439,Fiat,C5,  2002_year ,6/10/2002,,282,2,3694,2052,1430,180551,208,,5/14/2018 11:46,Benzin,Auto_or_Hybrid,Auto,Big,silver
440,Kia,Evoque,  2015_year ,9/4/2015,,234,2,3910,1828,1479,45728,172,,6/16/2018 14:47,Benzin,Manual,Auto,Big,white
441,BMW,Twingo,  2011_year ,8/4/2011,1,132,2,3892,2115,1703,131722,97,,8/3/2018 14:16,Diesel,Auto_or_Hybrid,Auto,Big,gold
442,Fiat,Corsa,  2007_year ,2/22/2007,1,244,2,3943,1992,1815,142506,179,,5/27/2018 12:27,Diesel,Auto_or_Hybrid,Auto,Big,brown
443,Fiat,Corsa,  2010_year ,4/16/2010,1,198,2,3840,1868,1815,143805,145,,7/6/2018 15:02,Diesel,Auto_or_Hybrid,Auto,Big,white
444,Citroen,500,  2005_year ,11/15/2006,,205,3,3634,2237,1418,253568,152,,4/20/2018 13:07,Diesel,Auto_or_Hybrid,Auto,Big,brown
445,Ford,cee'd,  2010_year ,1/2/2012,,115,1,3659,2179,1670,74010,84,,9/18/2018 15:49,Benzin,Manual,Manual,,gray
446,Dacia,Kuga,  2010_year ,9/23/2010,,106,2,3765,2255,1462,69129,78,,8/30/2018 9:56,Diesel,Manual,Auto,,white
447,Citroen,M-Klasse,  2009_year ,9/17/2009,,163,2,3823,2138,1411,148790,120,,8/23/2018 19:02,Benzin,Manual,Front,,red
448,Toyota,S 60,  2008_year ,2/11/2009,,98,2,3813,2356,1458,100190,72,,9/18/2018 12:34,Benzin,Manual,Auto,,purple
449,Hyundai,X3,  2003_year ,2/12/2004,1,144,2,3564,2381,1695,145515,105,,6/30/2018 17:50,Benzin,Manual,Auto,,brown
450,BMW,Insignia,  2001_year ,12/28/2001,,143,2,3702,2392,1498,318369,105,,10/20/2018 15:09,Benzin,Manual,Auto,,brown
451,Nissan,Superb,  2015_year ,3/31/2015,,121,2,3682,2130,1685,57974,89,,7/13/2018 16:29,Diesel,Manual,Auto,Big,brown
452,Citroen,500,  2003_year ,7/17/2005,,201,2,3692,2099,1369,249496,147,,4/7/2018 11:36,Diesel,Manual,Auto,,red
453,Seat,Grande Punto,  2007_year ,5/4/2007,,182,1,3510,2384,1488,54973,134,,9/5/2018 16:24,Diesel,Manual,Auto,,brown
454,BMW,Q5,  2010_year ,11/1/2010,,122,2,3843,2062,1504,155392,90,,6/20/2018 13:38,Benzin,Manual,Auto,Big,gray
455,Fiat,Octavia,  2000_year ,3/27/2000,,125,2,3569,2110,1575,195457,92,,7/31/2018 14:15,Benzin,Manual,Manual,,red
456,Citroen,207,  2006_year ,6/16/2006,1,205,2,3751,2139,1468,214432,152,,3/31/2018 18:26,Diesel,Auto_or_Hybrid,Auto,Big,purple
457,Fiat,C-Klasse,  2006_year ,5/29/2006,,140,2,3769,1994,1426,163488,103,,8/8/2018 15:13,Diesel,Manual,Auto,,red
458,BMW,Insignia,  2012_year ,8/27/2012,,113,2,3673,2298,1516,103609,83,,7/9/2018 10:13,Benzin,Manual,Auto,Big,gray
459,Citroen,207,  2008_year ,5/28/2008,1,172,1,3574,2168,1482,185375,126,,8/27/2018 12:32,Diesel,Auto_or_Hybrid,Auto,Big,purple
460,Land Rover,XC 60,  2006_year ,3/9/2006,1,243,2,3867,2167,1737,230681,179,,7/24/2018 10:07,Diesel,Auto_or_Hybrid,Auto,Big,brown
461,Land Rover,A5,  2009_year ,5/13/2009,1,175,2,3748,2156,1436,183192,129,,7/15/2018 9:25,Diesel,Manual,Auto,Big,white
462,Toyota,S 60,  2015_year ,12/8/2015,,273,2,3880,1980,1454,121247,201,,6/17/2018 19:18,Benzin,Auto_or_Hybrid,Auto,Big,brown
463,Land Rover,C-Max,  2004_year ,7/9/2004,,103,2,3610,1998,1421,98848,75,,8/27/2018 10:35,Diesel,Manual,Auto,,red
464,Ford,cee'd,  2012_year ,7/13/2012,,147,2,3850,2141,1670,94473,107,,7/5/2018 10:00,Benzin,Manual,Auto,,red
465,Citroen,207,  2002_year ,9/24/2002,,154,2,3484,2279,1435,133296,114,,6/26/2018 11:20,Benzin,Auto_or_Hybrid,Auto,Big,purple
466,BMW,CR-V,  2007_year ,11/1/2007,,115,2,3513,2184,1513,225672,84,,6/12/2018 8:21,Diesel,Manual,Manual,,brown
467,Citroen,207,  2003_year ,5/27/2004,,202,1,3421,2339,1445,183060,148,,5/30/2018 14:22,Diesel,Auto_or_Hybrid,Auto,,red
468,Toyota,Vectra,  2014_year ,7/30/2014,,102,1,3663,2044,1428,116868,75,,8/21/2018 13:35,Benzin,Manual,Auto,Big,black
469,Dacia,Kuga,  2004_year ,8/5/2004,,128,2,3775,2076,1413,182891,95,,5/20/2018 16:46,Diesel,Manual,Auto,Big,red
470,Fiat,C5,  2009_year ,3/31/2009,,190,2,4014,1944,1464,202483,139,,6/4/2018 11:25,Diesel,Auto_or_Hybrid,Auto,Big,red
471,Kia,E-Klasse,  2010_year ,12/14/2010,,129,2,3738,2109,1615,89615,95,,6/20/2018 11:07,Benzin,Manual,Auto,,purple
472,Kia,Golf V,  2011_year ,1/3/2012,1,161,2,3641,2265,1520,124263,118,,4/28/2018 17:56,Diesel,Auto_or_Hybrid,Auto,Big,gray
473,Land Rover,A5,  2004_year ,2/13/2004,,142,2,3746,2363,1428,201795,104,,9/22/2018 12:23,Benzin,Manual,Auto,Big,red
474,Fiat,Corsa,  2005_year ,4/27/2005,1,168,2,3670,2128,1820,237152,123,,5/24/2018 13:16,Diesel,Auto_or_Hybrid,Auto,Big,purple
475,Nissan,Duster,  2010_year ,4/1/2010,,115,2,3567,2199,1460,115347,84,,5/9/2018 9:56,Benzin,Manual,Auto,,brown
476,BMW,Touareg,  2006_year ,2/28/2007,,127,2,3963,2192,1990,218905,94,,4/23/2018 10:51,Diesel,Manual,Manual,Big,red
477,Dacia,T5,  2015_year ,3/30/2015,1,191,2,4054,1915,1529,102810,141,,6/4/2018 14:00,Diesel,Auto_or_Hybrid,Auto,Big,white
478,Land Rover,Civic,  2001_year ,7/6/2001,,162,2,3674,2075,1453,121532,119,,6/25/2018 11:32,Benzin,Auto_or_Hybrid,Auto,,silver
479,Citroen,500,  2008_year ,3/19/2008,,124,2,3721,2397,1418,202029,91,,7/23/2018 15:57,Diesel,Manual,Auto,Big,purple
480,Skoda,fortwo,  2004_year ,11/23/2004,,109,2,3468,2285,1435,154118,80,,9/6/2018 8:32,Benzin,Manual,Auto,,purple
481,Dacia,307,  2012_year ,10/30/2012,,,2,3604,2358,1498,16746,61,,7/5/2018 16:07,Benzin,Manual,Manual,,brown
482,Land Rover,A5,  2000_year ,5/9/2001,,165,3,3637,2163,1428,252405,121,,5/12/2018 12:26,Diesel,Manual,Auto,,red
483,Fiat,C-Klasse,  2013_year ,7/12/2013,,132,2,3896,2072,1447,54854,98,,7/13/2018 14:34,Benzin,Auto_or_Hybrid,Auto,Big,brown
484,Skoda,MINI,  2009_year ,7/21/2009,,163,2,3711,2020,1615,124802,120,,6/21/2018 17:43,Benzin,Manual,Auto,,blue
485,Dacia,307,  2006_year ,5/11/2007,,88,2,3684,2122,0,170567,65,,8/6/2018 10:01,Benzin,Manual,Manual,,brown
486,Citroen,207,  2007_year ,2/21/2007,,190,2,3734,2204,1491,294149,139,,5/16/2018 14:13,Diesel,Auto_or_Hybrid,Auto,Big,silver
487,Audi,Passat,  2000_year ,3/30/2000,,54,1,3527,2171,1334,122617,40,,5/24/2018 13:46,Benzin,Manual,Manual,,purple
488,BMW,Insignia,  2001_year ,10/4/2001,,90,2,3672,2089,1498,183871,66,,5/29/2018 13:16,Benzin,Manual,Auto,,red
489,Dacia,Kuga,  2009_year ,11/5/2009,1,139,2,3854,2040,1533,148158,103,,7/26/2018 17:40,Benzin,Manual,Auto,,silver
490,Land Rover,Civic,  2011_year ,9/15/2011,1,261,2,4120,1785,1455,84361,192,,9/27/2018 11:26,Diesel,Auto_or_Hybrid,Auto,Big,purple
491,Land Rover,V 70,  2010_year ,10/25/2010,1,271,1,3775,2141,1653,188085,199,,6/20/2018 15:32,Diesel,Auto_or_Hybrid,Auto,Big,purple
492,Toyota,S 60,  2007_year ,10/26/2007,,235,2,3621,2151,1458,134504,173,,7/8/2018 8:26,Benzin,Manual,Auto,,white
493,Porsche,Golf VI,  2006_year ,3/27/2006,,80,1,3526,2042,1490,124934,58,,7/28/2018 13:10,Diesel,Manual,Manual,,brown
494,Mercedes-Benz,Caddy,  2000_year ,8/17/2000,,60,1,3411,2103,1549,112814,45,,5/15/2018 11:28,Benzin,Auto_or_Hybrid,,,black
495,Audi,1er,  2002_year ,2/14/2003,,110,2,3462,2074,1532,195770,81,,6/3/2018 13:28,Diesel,Manual,Auto,,purple
496,Nissan,Superb,  2014_year ,6/17/2014,,115,2,3788,2092,1685,92926,85,,6/17/2018 11:02,Diesel,Manual,Auto,,white
497,Land Rover,V 70,  2009_year ,7/27/2009,1,249,2,3897,1874,1653,174254,182,,9/23/2018 14:35,Diesel,Auto_or_Hybrid,Auto,Big,brown
498,Toyota,S 60,  2014_year ,2/12/2014,,149,1,4073,2144,1444,70702,110,,10/25/2018 8:36,Benzin,Manual,Auto,Big,red
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
